Tensile stress;Tensile strain (Extension)
(MPa);(mm/mm)
0.0012;0.004
0.0024;0.008
0.0036;0.012
0.0048;0.016
0.006;0.02
0.006791282;0.023333333
0.007937381;0.026666667
0.009773884;0.03
0.011251497;0.033333333
0.01188441;0.036666667
0.012611935;0.04
0.014075748;0.043333333
0.015804924;0.046666667
0.016812198;0.05
0.018300537;0.053333333
0.019539185;0.056666667
0.019863206;0.06
0.020755108;0.063333333
0.021757068;0.066666667
0.02315885;0.07
0.024301173;0.073333333
0.025788986;0.076666667
0.026332711;0.08
0.027381799;0.083333333
0.028796387;0.086666667
0.029378346;0.09
0.031427462;0.093333333
0.030874484;0.096666667
0.033773934;0.1
