g_i Prony;k_i Prony;tau_i Prony
0.066990106;0;1.98E-12
0.020430116;0;4.50E-12
0.042232788;0;8.74E-12
0.042012678;0;2.39E-11
0.050645437;0;6.57E-11
0.05402699;0;1.51E-10
0.053312446;0;3.37E-10
0.053415368;0;7.25E-10
0.054032764;0;1.61E-09
0.052262243;0;3.69E-09
0.047118784;0;9.11E-09
0.042886662;0;2.42E-08
0.043717542;0;6.38E-08
0.04583567;0;1.64E-07
0.045783158;0;4.11E-07
0.041086232;0;9.73E-07
0.038726095;0;2.17E-06
0.03513419;0;5.00E-06
0.028441611;0;1.10E-05
0.027169708;0;2.21E-05
0.025903816;0;4.84E-05
0.003056263;0;9.98E-05
0.016316121;0;9.98E-05
0.000330054;0;1.01E-04
0.021309043;0;2.29E-04
0.016663481;0;6.85E-04
0.009637848;0;2.45E-03
0.009343301;0;9.14E-03
0.006651252;0;4.00E-02
0.003872039;0;1.99E-01
0.001256981;0;7.83E-01
