g_i Prony;k_i Prony;tau_i Prony
0.052087116;0;1.06E-16
0.040199431;0;6.17E-16
0.043503524;0;3.85E-15
0.051822024;0;2.00E-14
0.058025826;0;1.03E-13
0.064712987;0;5.15E-13
0.067454189;0;2.47E-12
0.068631305;0;1.17E-11
0.066427077;0;5.38E-11
0.063758694;0;2.47E-10
0.062958942;0;1.06E-09
0.058810013;0;4.41E-09
0.054904862;0;1.76E-08
0.046835246;0;6.79E-08
0.03663348;0;2.57E-07
0.025432978;0;9.50E-07
0.017168988;0;3.23E-06
0.012350417;0;7.75E-06
0.012909138;0;1.77E-05
0.012160366;0;4.23E-05
0.016272741;0;1.26E-04
0.012984351;0;4.42E-04
0.01140108;0;1.59E-03
0.008598861;0;7.26E-03
0.00750314;0;2.96E-02
0.006570579;0;1.19E-01
0.005132005;0;5.16E-01
0.004081685;0;2.70E+00
0.004018805;0;1.85E+01
0.002893297;0;1.99E+02
0.001660216;0;2.11E+05
