Tensile stress;Tensile strain (Extension)
(MPa);(mm/mm)
0.001995833;0.000186061
-6.97917E-05;0.000204242
0.000241146;0.000278788
0.003565625;0.000394242
9.63542E-05;0.000508485
0.000180208;0.000651212
0.001782813;0.000864242
0.00133125;0.001124242
0.000834375;0.001318182
0.002151563;0.001489091
0.001197396;0.001634848
0.000697917;0.001794545
0.003733854;0.001936667
0.001860417;0.002104242
0.002428125;0.002251818
0.003768229;0.002425758
0.003882292;0.002582121
0.002134896;0.002726364
0.0058875;0.002873636
0.003591146;0.003014242
0.0020375;0.003168182
0.004267708;0.003331818
0.005089063;0.003488485
0.002926042;0.003652727
0.003969792;0.00379697
0.004079167;0.003946061
0.002132813;0.004101515
0.005549479;0.004266667
0.005341667;0.004402727
0.003223958;0.004539697
0.004869792;0.004704545
0.005910938;0.004870606
0.003605729;0.005016061
0.005003125;0.005160606
0.007702083;0.005328485
0.004241146;0.005470303
0.0064625;0.005627576
0.007716667;0.00580303
0.005039063;0.005954545
0.005719792;0.006091818
0.0063625;0.006237273
0.004297396;0.00639
0.005819271;0.00657303
0.006410938;0.006727879
0.005803646;0.006874242
0.006034375;0.007007879
0.009435938;0.007163939
0.007421354;0.007334242
0.007528125;0.007480606
0.008718229;0.007626061
0.007521875;0.007769697
0.007669792;0.007923939
0.008925;0.008083333
0.007855729;0.008220303
0.008366667;0.008375455
0.010273438;0.008538788
0.008922917;0.008669091
0.007629688;0.008808788
0.010345833;0.008968182
0.008913542;0.009121212
0.008376563;0.009282727
0.011305208;0.009430606
0.009715104;0.009582727
0.007729167;0.009724545
0.011038542;0.009877576
0.010767188;0.010038182
0.009177604;0.010195455
0.012127083;0.010345455
0.011203646;0.010490303
0.010831771;0.010646061
0.011869271;0.010795758
0.011356771;0.010939091
0.009189063;0.011085152
0.011900521;0.011241515
0.012903125;0.011395455
0.010274479;0.011560606
0.011911979;0.011707273
0.012285938;0.011868485
0.011516146;0.012019394
0.013242188;0.012157273
0.013611458;0.0123
0.010594792;0.012470303
0.011754688;0.012621212
0.014053646;0.012762424
0.013448438;0.012905758
0.012784896;0.013060303
0.015216667;0.01322697
0.012008333;0.013370909
0.013373438;0.013520303
0.01528125;0.013685152
0.014536979;0.013824242
0.015182813;0.013976667
0.015202083;0.014127576
0.015044271;0.014263636
0.014293229;0.014411818
0.016327604;0.014555758
0.014219792;0.014718485
0.014267188;0.014871818
0.016222396;0.015021515
0.016133333;0.015184848
0.015873958;0.015338788
0.017809375;0.015491818
0.015609896;0.015631212
0.014534896;0.015776364
0.017092188;0.015914545
0.016981771;0.016075152
0.015880208;0.016238182
0.017451563;0.016393939
0.018855208;0.01654697
0.015471875;0.016687273
0.019067188;0.016836364
0.017830208;0.016994242
0.016610417;0.017159394
0.018869792;0.017318485
0.018854688;0.017458788
0.017210417;0.017602424
0.019477083;0.017754545
0.020639063;0.017900303
0.017395313;0.018049697
0.018867708;0.018208788
0.020983854;0.018361212
0.018374479;0.018521818
0.019317188;0.018666061
0.022159896;0.018812727
0.019317708;0.018939697
0.018834375;0.01908
0.022073958;0.01923
0.019288542;0.019389394
0.019522917;0.019542424
0.022684896;0.01971697
0.0201375;0.019879394
0.020066146;0.020032727
0.021261458;0.020198485
0.022126042;0.020353333
0.021139583;0.020502121
0.022303646;0.020653636
0.021132292;0.020818485
0.021088021;0.020958182
0.023409375;0.02111
0.021657292;0.021258182
0.020348958;0.02139697
0.023709896;0.021553939
0.023936979;0.021708788
0.021276042;0.021858182
0.023908854;0.022014545
0.02395625;0.02215697
0.024111979;0.022310606
0.023636458;0.022459697
0.023453646;0.022609091
0.023419792;0.022757879
0.025090625;0.022902424
0.025086979;0.023062424
0.022280208;0.023218182
0.024445313;0.023377576
0.026460938;0.023512121
0.022630729;0.023652727
0.025785938;0.023818182
0.028183333;0.023971515
0.024966667;0.024120909
0.026077604;0.024272121
0.027526563;0.024428788
0.02528125;0.024590606
0.025838021;0.024730606
0.026760938;0.024874848
0.025096875;0.025013939
0.026170833;0.025171515
0.028776563;0.025336667
0.024849479;0.025498485
0.025359896;0.025638788
0.027516667;0.025799091
0.027442188;0.025939091
0.026457292;0.026102424
0.029678646;0.026247879
0.0284375;0.026392727
0.026381771;0.026538485
0.029603646;0.026682727
0.028734375;0.026841515
0.026350521;0.026990909
0.029479167;0.027145455
0.02930625;0.02731697
0.027814583;0.027462424
0.029773438;0.02761
0.030086979;0.027761515
0.029052083;0.027919394
0.029644792;0.028062727
0.030220313;0.028220303
0.029556771;0.028363636
0.031065104;0.028503333
0.033036458;0.028656061
0.029776563;0.028817879
0.030123438;0.028973333
0.032197396;0.02913
0.029908333;0.029273636
0.030619792;0.029415455
0.032608333;0.02956697
0.030658854;0.029719394
0.030919792;0.029867879
0.033696875;0.03000697
0.032619271;0.030174242
0.032110938;0.030320303
0.033842708;0.03047
0.032838542;0.030630909
0.031526042;0.030768182
0.033780208;0.030932121
0.032816667;0.031088788
0.03300625;0.031229697
0.035028646;0.031381818
0.034751563;0.031534848
0.033133333;0.031690606
0.034417708;0.031847576
0.03468125;0.031995758
0.034302604;0.032162121
0.035056771;0.032312121
0.035936979;0.032448182
0.033773438;0.032604848
0.035599479;0.032756364
0.036719792;0.032900303
0.032770833;0.033048485
0.036625521;0.033207879
0.036959375;0.033371212
0.035765625;0.033536364
0.035807292;0.033673636
0.037066146;0.033814242
0.035915625;0.033966667
0.036807292;0.034119697
0.037878646;0.034271818
0.03525625;0.034433333
0.037617708;0.034571818
0.038815104;0.034726061
0.036566146;0.034876061
0.037846875;0.035019394
0.039577083;0.035186667
0.037153646;0.035334848
0.037792188;0.035485455
0.04015625;0.03564
0.037279688;0.035783333
0.038158333;0.035933333
0.039111979;0.036096364
0.037973958;0.036264545
0.039300521;0.036397273
0.040975521;0.036539091
0.037902604;0.036688788
0.03906875;0.036836061
0.041477604;0.036991212
0.038986458;0.037149697
0.040232292;0.037290606
0.040821354;0.037427879
