Tensile stress;Tensile strain (Extension)
(MPa);(mm/mm)
0.0338752;0.004
0.0677504;0.008
0.1016256;0.012
0.1355008;0.016
0.169376;0.02
0.195250276;0.023333333
0.223025301;0.026666667
0.25164793;0.03
0.278297584;0.033333333
0.305418144;0.036666667
0.333366012;0.04
0.3614434;0.043333333
0.388316025;0.046666667
0.415361859;0.05
0.443547501;0.053333333
0.470158392;0.056666667
0.495852416;0.06
0.523136873;0.063333333
0.550313288;0.066666667
0.577301704;0.07
0.604509781;0.073333333
0.630105573;0.076666667
0.657675279;0.08
0.684973531;0.083333333
0.710106679;0.086666667
0.736023215;0.09
0.761585128;0.093333333
0.789405069;0.096666667
0.815476968;0.1
