g_i Prony;k_i Prony;tau_i Prony
0.013065826;0;6.53E-20
0.009596792;0;7.38E-19
0.011733921;0;6.23E-18
0.016949792;0;3.81E-17
0.017974055;0;1.75E-16
0.013220893;0;9.04E-16
0.012760136;0;5.42E-15
0.016103203;0;3.33E-14
0.022906187;0;1.85E-13
0.027979227;0;1.05E-12
0.031175537;0;6.27E-12
0.037187484;0;4.00E-11
0.042774095;0;2.57E-10
0.047116529;0;1.57E-09
0.057803497;0;8.43E-09
0.073272099;0;3.83E-08
0.096135958;0;1.50E-07
0.099286705;0;5.66E-07
0.078218598;0;1.97E-06
0.064604204;0;7.30E-06
0.05135283;0;2.79E-05
0.040775894;0;1.03E-04
0.033350666;0;3.97E-04
0.029029894;0;1.48E-03
0.019021774;0;5.21E-03
0.010616974;0;2.31E-02
0.010817074;0;9.22E-02
0.005662425;0;3.75E-01
0.002388196;0;5.61E+01
0.001396532;0;3.33E+02
0.001682677;0;3.67E+03
